,date,confirmed_cases_cumulative,confirmed_cases,7dconfirmed_cases,inc,Face_Masks_Required_in_Public
0,2020-02-01,0,0.0,0.0,0.0,
1,2020-02-02,0,0.0,0.0,0.0,
2,2020-02-03,0,0.0,0.0,0.0,
3,2020-02-04,0,0.0,0.0,0.0,
4,2020-02-05,0,0.0,0.0,0.0,
5,2020-02-06,0,0.0,0.0,0.0,
6,2020-02-07,0,0.0,0.0,0.0,
7,2020-02-08,0,0.0,0.0,0.0,
8,2020-02-09,0,0.0,0.0,0.0,
9,2020-02-10,0,0.0,0.0,0.0,
10,2020-02-11,0,0.0,0.0,0.0,
11,2020-02-12,0,0.0,0.0,0.0,
12,2020-02-13,0,0.0,0.0,0.0,
13,2020-02-14,0,0.0,0.0,0.0,
14,2020-02-15,0,0.0,0.0,0.0,
15,2020-02-16,0,0.0,0.0,0.0,
16,2020-02-17,0,0.0,0.0,0.0,
17,2020-02-18,0,0.0,0.0,0.0,
18,2020-02-19,0,0.0,0.0,0.0,
19,2020-02-20,0,0.0,0.0,0.0,
20,2020-02-21,0,0.0,0.0,0.0,
21,2020-02-22,0,0.0,0.0,0.0,
22,2020-02-23,0,0.0,0.0,0.0,
23,2020-02-24,0,0.0,0.0,0.0,
24,2020-02-25,0,0.0,0.0,0.0,
25,2020-02-26,0,0.0,0.0,0.0,
26,2020-02-27,0,0.0,0.0,0.0,
27,2020-02-28,0,0.0,0.0,0.0,
28,2020-02-29,0,0.0,0.0,0.0,
29,2020-03-01,0,0.0,0.0,0.0,
30,2020-03-02,0,0.0,0.0,0.0,
31,2020-03-03,0,0.0,0.0,0.0,
32,2020-03-04,0,0.0,0.0,0.0,
33,2020-03-05,0,0.0,0.0,0.0,
34,2020-03-06,0,0.0,0.0,0.0,
35,2020-03-07,0,0.0,0.0,0.0,
36,2020-03-08,0,0.0,0.0,0.0,
37,2020-03-09,1,1.0,0.14285714285714285,0.14285714285714285,
38,2020-03-10,1,0.0,0.14285714285714285,0.0,
39,2020-03-11,1,0.0,0.14285714285714285,0.0,
40,2020-03-12,2,1.0,0.2857142857142857,0.14285714285714285,
41,2020-03-13,2,0.0,0.2857142857142857,0.0,
42,2020-03-14,4,2.0,0.5714285714285714,0.2857142857142857,
43,2020-03-15,4,0.0,0.5714285714285714,0.0,
44,2020-03-16,6,2.0,0.7142857142857143,0.1428571428571429,
45,2020-03-17,7,1.0,0.8571428571428571,0.1428571428571428,
46,2020-03-18,8,1.0,1.0,0.1428571428571429,
47,2020-03-19,8,0.0,0.8571428571428571,-0.1428571428571429,
48,2020-03-20,25,17.0,3.2857142857142856,2.4285714285714284,
49,2020-03-21,25,0.0,3.0,-0.2857142857142856,
50,2020-03-22,25,0.0,3.0,0.0,
51,2020-03-23,33,8.0,3.857142857142857,0.8571428571428572,
52,2020-03-24,33,0.0,3.7142857142857144,-0.1428571428571428,
53,2020-03-25,35,2.0,3.857142857142857,0.1428571428571428,
54,2020-03-26,35,0.0,3.857142857142857,0.0,
55,2020-03-27,35,0.0,1.4285714285714286,-2.428571428571429,
56,2020-03-28,103,68.0,11.142857142857142,9.714285714285714,
57,2020-03-29,97,-6.0,10.285714285714286,-0.8571428571428559,
58,2020-03-30,116,19.0,11.857142857142858,1.5714285714285712,
59,2020-03-31,206,90.0,24.714285714285715,12.857142857142858,
60,2020-04-01,206,0.0,24.428571428571427,-0.28571428571428825,
61,2020-04-02,228,22.0,27.571428571428573,3.142857142857146,
62,2020-04-03,228,0.0,27.571428571428573,0.0,
63,2020-04-04,299,71.0,28.0,0.42857142857142705,
64,2020-04-05,304,5.0,29.571428571428573,1.571428571428573,
65,2020-04-06,304,0.0,26.857142857142858,-2.7142857142857153,
66,2020-04-07,319,15.0,16.142857142857142,-10.714285714285715,
67,2020-04-08,319,0.0,16.142857142857142,0.0,
68,2020-04-09,380,61.0,21.714285714285715,5.571428571428573,
69,2020-04-10,380,0.0,21.714285714285715,0.0,
70,2020-04-11,380,0.0,11.571428571428571,-10.142857142857144,
71,2020-04-12,495,115.0,27.285714285714285,15.714285714285714,
72,2020-04-13,550,55.0,35.142857142857146,7.857142857142861,
73,2020-04-14,531,-19.0,30.285714285714285,-4.857142857142861,
74,2020-04-15,573,42.0,36.285714285714285,6.0,
75,2020-04-16,600,27.0,31.428571428571427,-4.857142857142858,
76,2020-04-17,599,-1.0,31.285714285714285,-0.14285714285714235,
77,2020-04-18,689,90.0,44.142857142857146,12.857142857142861,
78,2020-04-19,814,125.0,45.57142857142857,1.4285714285714235,
79,2020-04-20,867,53.0,45.285714285714285,-0.2857142857142847,
80,2020-04-21,925,58.0,56.285714285714285,11.0,
81,2020-04-22,954,29.0,54.42857142857143,-1.857142857142854,
82,2020-04-23,1008,54.0,58.285714285714285,3.857142857142854,
83,2020-04-24,1121,113.0,74.57142857142857,16.285714285714285,
84,2020-04-25,1121,0.0,61.714285714285715,-12.857142857142854,
85,2020-04-26,1120,-1.0,43.714285714285715,-18.0,
86,2020-04-27,1140,20.0,39.0,-4.714285714285715,
87,2020-04-28,1224,84.0,42.714285714285715,3.7142857142857153,
88,2020-04-29,1281,57.0,46.714285714285715,4.0,
89,2020-04-30,1307,26.0,42.714285714285715,-4.0,
90,2020-05-01,1352,45.0,33.0,-9.714285714285715,
91,2020-05-02,1352,0.0,33.0,0.0,
92,2020-05-03,1403,51.0,40.42857142857143,7.428571428571431,
93,2020-05-04,1419,16.0,39.857142857142854,-0.5714285714285765,
94,2020-05-05,1497,78.0,39.0,-0.8571428571428541,
95,2020-05-06,1535,38.0,36.285714285714285,-2.7142857142857153,
96,2020-05-07,1578,43.0,38.714285714285715,2.4285714285714306,
97,2020-05-08,1610,32.0,36.857142857142854,-1.8571428571428612,
98,2020-05-09,1642,32.0,41.42857142857143,4.5714285714285765,
99,2020-05-10,1642,0.0,34.142857142857146,-7.285714285714285,
100,2020-05-11,1691,49.0,38.857142857142854,4.714285714285708,
101,2020-05-12,1713,22.0,30.857142857142858,-7.9999999999999964,
102,2020-05-13,1713,0.0,25.428571428571427,-5.428571428571431,
103,2020-05-14,1741,28.0,23.285714285714285,-2.1428571428571423,
104,2020-05-15,1772,31.0,23.142857142857142,-0.14285714285714235,
105,2020-05-16,1865,93.0,31.857142857142858,8.714285714285715,
106,2020-05-17,1865,0.0,31.857142857142858,0.0,
107,2020-05-18,1916,51.0,32.142857142857146,0.28571428571428825,
108,2020-05-19,1959,43.0,35.142857142857146,3.0,
109,2020-05-20,1968,9.0,36.42857142857143,1.2857142857142847,
110,2020-05-21,1994,26.0,36.142857142857146,-0.2857142857142847,
111,2020-05-22,2021,27.0,35.57142857142857,-0.5714285714285765,
112,2020-05-23,2050,29.0,26.428571428571427,-9.142857142857142,
113,2020-05-24,2050,0.0,26.428571428571427,0.0,
114,2020-05-25,2050,0.0,19.142857142857142,-7.285714285714285,
115,2020-05-26,2219,169.0,37.142857142857146,18.000000000000004,
116,2020-05-27,2253,34.0,40.714285714285715,3.5714285714285694,
117,2020-05-28,2267,14.0,39.0,-1.7142857142857153,
118,2020-05-29,2329,62.0,44.0,5.0,
119,2020-05-30,2437,108.0,55.285714285714285,11.285714285714285,
120,2020-05-31,2437,0.0,55.285714285714285,0.0,
121,2020-06-01,2519,82.0,67.0,11.714285714285715,
122,2020-06-02,2562,43.0,49.0,-18.0,
123,2020-06-03,2612,50.0,51.285714285714285,2.2857142857142847,
124,2020-06-04,2760,148.0,70.42857142857143,19.142857142857146,
125,2020-06-05,2843,83.0,73.42857142857143,3.0,
126,2020-06-06,3043,200.0,86.57142857142857,13.142857142857139,
127,2020-06-07,3043,0.0,86.57142857142857,0.0,
128,2020-06-08,3104,61.0,83.57142857142857,-3.0,
129,2020-06-09,3186,82.0,89.14285714285714,5.571428571428569,
130,2020-06-10,3226,40.0,87.71428571428571,-1.4285714285714306,
131,2020-06-11,3229,3.0,67.0,-20.714285714285708,
132,2020-06-12,3278,49.0,62.142857142857146,-4.857142857142854,
133,2020-06-13,3323,45.0,40.0,-22.142857142857146,
134,2020-06-14,3323,0.0,40.0,0.0,
135,2020-06-15,3363,40.0,37.0,-3.0,
136,2020-06-16,3363,0.0,25.285714285714285,-11.714285714285715,
137,2020-06-17,3451,88.0,32.142857142857146,6.857142857142861,
138,2020-06-18,3481,30.0,36.0,3.857142857142854,
139,2020-06-19,3528,47.0,35.714285714285715,-0.2857142857142847,
140,2020-06-20,3561,33.0,34.0,-1.7142857142857153,
141,2020-06-21,3582,21.0,37.0,3.0,
142,2020-06-22,3609,27.0,35.142857142857146,-1.857142857142854,
143,2020-06-23,3651,42.0,41.142857142857146,6.0,
144,2020-06-24,3682,31.0,33.0,-8.142857142857146,
145,2020-06-25,3714,32.0,33.285714285714285,0.2857142857142847,
146,2020-06-26,3765,51.0,33.857142857142854,0.5714285714285694,
147,2020-06-27,3820,55.0,37.0,3.142857142857146,
148,2020-06-28,3829,9.0,35.285714285714285,-1.7142857142857153,
149,2020-06-29,3852,23.0,34.714285714285715,-0.5714285714285694,
150,2020-06-30,3901,49.0,35.714285714285715,1.0,
151,2020-07-01,3942,41.0,37.142857142857146,1.4285714285714306,
152,2020-07-02,3991,49.0,39.57142857142857,2.4285714285714235,
153,2020-07-03,4034,43.0,38.42857142857143,-1.1428571428571388,
154,2020-07-04,4034,0.0,30.571428571428573,-7.857142857142858,
155,2020-07-05,4034,0.0,29.285714285714285,-1.2857142857142883,
156,2020-07-06,4173,139.0,45.857142857142854,16.57142857142857,
157,2020-07-07,4233,60.0,47.42857142857143,1.5714285714285765,
158,2020-07-08,4312,79.0,52.857142857142854,5.4285714285714235,
159,2020-07-09,4395,83.0,57.714285714285715,4.857142857142861,
160,2020-07-10,4458,63.0,60.57142857142857,2.857142857142854,Yes
161,2020-07-11,4522,64.0,69.71428571428571,9.142857142857139,Yes
162,2020-07-12,4561,39.0,75.28571428571429,5.571428571428584,Yes
163,2020-07-13,4588,27.0,59.285714285714285,-16.000000000000007,Yes
164,2020-07-14,4661,73.0,61.142857142857146,1.8571428571428612,Yes
165,2020-07-15,4709,48.0,56.714285714285715,-4.428571428571431,Yes
166,2020-07-16,4778,69.0,54.714285714285715,-2.0,Yes
167,2020-07-17,4861,83.0,57.57142857142857,2.857142857142854,Yes
168,2020-07-18,4962,101.0,62.857142857142854,5.285714285714285,Yes
169,2020-07-19,5170,208.0,87.0,24.142857142857146,Yes
170,2020-07-20,5263,93.0,96.42857142857143,9.42857142857143,Yes
171,2020-07-21,5441,178.0,111.42857142857143,15.0,Yes
172,2020-07-22,5519,78.0,115.71428571428571,4.285714285714278,Yes
173,2020-07-23,5635,116.0,122.42857142857143,6.714285714285722,Yes
174,2020-07-24,5836,201.0,139.28571428571428,16.857142857142847,Yes
175,2020-07-25,6080,244.0,159.71428571428572,20.428571428571445,Yes
176,2020-07-26,6135,55.0,137.85714285714286,-21.85714285714286,Yes
177,2020-07-27,6320,185.0,151.0,13.142857142857139,Yes
178,2020-07-28,6450,130.0,144.14285714285714,-6.857142857142861,Yes
179,2020-07-29,6549,99.0,147.14285714285714,3.0,Yes
180,2020-07-30,6687,138.0,150.28571428571428,3.142857142857139,Yes
181,2020-07-31,6888,201.0,150.28571428571428,0.0,Yes
182,2020-08-01,7040,152.0,137.14285714285714,-13.142857142857139,Yes
183,2020-08-02,7131,91.0,142.28571428571428,5.142857142857139,Yes
184,2020-08-03,7206,75.0,126.57142857142857,-15.714285714285708,Yes
185,2020-08-04,7414,208.0,137.71428571428572,11.142857142857153,Yes
186,2020-08-05,7518,104.0,138.42857142857142,0.714285714285694,Yes
187,2020-08-06,7666,148.0,139.85714285714286,1.4285714285714448,Yes
188,2020-08-07,7823,157.0,133.57142857142858,-6.285714285714278,Yes
189,2020-08-08,7984,161.0,134.85714285714286,1.2857142857142776,Yes
190,2020-08-09,8084,100.0,136.14285714285714,1.2857142857142776,Yes
191,2020-08-10,8188,104.0,140.28571428571428,4.142857142857139,Yes
192,2020-08-11,8279,91.0,123.57142857142857,-16.714285714285708,Yes
193,2020-08-12,8802,523.0,183.42857142857142,59.85714285714285,Yes
194,2020-08-13,8976,174.0,187.14285714285714,3.7142857142857224,Yes
195,2020-08-14,9149,173.0,189.42857142857142,2.2857142857142776,Yes
196,2020-08-15,9350,201.0,195.14285714285714,5.714285714285722,Yes
197,2020-08-16,9350,0.0,180.85714285714286,-14.285714285714278,Yes
198,2020-08-17,9629,279.0,205.85714285714286,25.0,Yes
199,2020-08-18,9749,120.0,210.0,4.142857142857139,Yes
200,2020-08-19,9901,152.0,157.0,-53.0,Yes
201,2020-08-20,10054,153.0,154.0,-3.0,Yes
202,2020-08-21,10249,195.0,157.14285714285714,3.142857142857139,Yes
203,2020-08-22,10490,241.0,162.85714285714286,5.714285714285722,Yes
204,2020-08-23,10490,0.0,162.85714285714286,0.0,Yes
205,2020-08-24,10703,213.0,153.42857142857142,-9.428571428571445,Yes
206,2020-08-25,10888,185.0,162.71428571428572,9.285714285714306,Yes
207,2020-08-26,11018,130.0,159.57142857142858,-3.142857142857139,Yes
208,2020-08-27,11167,149.0,159.0,-0.5714285714285836,Yes
209,2020-08-28,11353,186.0,157.71428571428572,-1.2857142857142776,Yes
210,2020-08-29,11615,262.0,160.71428571428572,3.0,Yes
211,2020-08-30,11741,126.0,178.71428571428572,18.0,Yes
212,2020-08-31,11851,110.0,164.0,-14.714285714285722,Yes
213,2020-09-01,11987,136.0,157.0,-7.0,Yes
214,2020-09-02,12192,205.0,167.71428571428572,10.714285714285722,Yes
215,2020-09-03,12394,202.0,175.28571428571428,7.571428571428555,Yes
216,2020-09-04,12617,223.0,180.57142857142858,5.285714285714306,Yes
217,2020-09-05,12818,201.0,171.85714285714286,-8.714285714285722,Yes
218,2020-09-06,12911,93.0,167.14285714285714,-4.714285714285722,Yes
219,2020-09-07,12960,49.0,158.42857142857142,-8.714285714285722,Yes
220,2020-09-08,13004,44.0,145.28571428571428,-13.142857142857139,Yes
221,2020-09-09,13106,102.0,130.57142857142858,-14.714285714285694,Yes
222,2020-09-10,13281,175.0,126.71428571428571,-3.8571428571428754,Yes
223,2020-09-11,13445,164.0,118.28571428571429,-8.428571428571416,Yes
224,2020-09-12,13579,134.0,108.71428571428571,-9.571428571428584,Yes
225,2020-09-13,13697,118.0,112.28571428571429,3.5714285714285836,Yes
226,2020-09-14,13784,87.0,117.71428571428571,5.428571428571416,Yes
227,2020-09-15,13896,112.0,127.42857142857143,9.714285714285722,Yes
228,2020-09-16,14020,124.0,130.57142857142858,3.142857142857153,Yes
229,2020-09-17,14101,81.0,117.14285714285714,-13.428571428571445,Yes
230,2020-09-18,14245,144.0,114.28571428571429,-2.857142857142847,Yes
231,2020-09-19,14424,179.0,120.71428571428571,6.428571428571416,Yes
232,2020-09-20,14504,80.0,115.28571428571429,-5.428571428571416,Yes
233,2020-09-21,14564,60.0,111.42857142857143,-3.857142857142861,Yes
234,2020-09-22,14694,130.0,114.0,2.5714285714285694,Yes
235,2020-09-23,14882,188.0,123.14285714285714,9.142857142857139,Yes
236,2020-09-24,14990,108.0,127.0,3.857142857142861,Yes
237,2020-09-25,15184,194.0,134.14285714285714,7.142857142857139,Yes
238,2020-09-26,15418,234.0,142.0,7.857142857142861,Yes
239,2020-09-27,15513,95.0,144.14285714285714,2.142857142857139,Yes
240,2020-09-28,15608,95.0,149.14285714285714,5.0,Yes
241,2020-09-29,15788,180.0,156.28571428571428,7.142857142857139,Yes
242,2020-09-30,15978,190.0,156.57142857142858,0.285714285714306,Yes
243,2020-10-01,16143,165.0,164.71428571428572,8.142857142857139,Yes
244,2020-10-02,16308,165.0,160.57142857142858,-4.142857142857139,Yes
245,2020-10-03,16552,244.0,162.0,1.4285714285714164,Yes
246,2020-10-04,16714,162.0,171.57142857142858,9.571428571428584,Yes
247,2020-10-05,16800,86.0,170.28571428571428,-1.285714285714306,Yes
248,2020-10-06,16980,180.0,170.28571428571428,0.0,Yes
249,2020-10-07,17165,185.0,169.57142857142858,-0.714285714285694,Yes
250,2020-10-08,17315,150.0,167.42857142857142,-2.142857142857167,Yes
251,2020-10-09,17565,250.0,179.57142857142858,12.142857142857167,Yes
252,2020-10-10,17724,159.0,167.42857142857142,-12.142857142857167,Yes
253,2020-10-11,17899,175.0,169.28571428571428,1.8571428571428612,Yes
254,2020-10-12,17988,89.0,169.71428571428572,0.4285714285714448,Yes
255,2020-10-13,18121,133.0,163.0,-6.714285714285722,Yes
256,2020-10-14,18386,265.0,174.42857142857142,11.428571428571416,Yes
257,2020-10-15,18604,218.0,184.14285714285714,9.714285714285722,Yes
258,2020-10-16,18855,251.0,184.28571428571428,0.1428571428571388,Yes
259,2020-10-17,19144,289.0,202.85714285714286,18.571428571428584,Yes
260,2020-10-18,19360,216.0,208.71428571428572,5.857142857142861,Yes
261,2020-10-19,19528,168.0,220.0,11.285714285714278,Yes
262,2020-10-20,19842,314.0,245.85714285714286,25.85714285714286,Yes
263,2020-10-21,20172,330.0,255.14285714285714,9.285714285714278,Yes
264,2020-10-22,20441,269.0,262.42857142857144,7.285714285714306,Yes
265,2020-10-23,20747,306.0,270.2857142857143,7.857142857142833,Yes
266,2020-10-24,21128,381.0,283.42857142857144,13.142857142857167,Yes
267,2020-10-25,21507,379.0,306.7142857142857,23.285714285714278,Yes
268,2020-10-26,21841,334.0,330.42857142857144,23.714285714285722,Yes
269,2020-10-27,22204,363.0,337.42857142857144,7.0,Yes
270,2020-10-28,22551,347.0,339.85714285714283,2.428571428571388,Yes
271,2020-10-29,22875,324.0,347.7142857142857,7.85714285714289,Yes
272,2020-10-30,23280,405.0,361.85714285714283,14.14285714285711,Yes
273,2020-10-31,23598,318.0,352.85714285714283,-9.0,Yes
274,2020-11-01,23898,300.0,341.57142857142856,-11.285714285714278,Yes
275,2020-11-02,24095,197.0,322.0,-19.571428571428555,Yes
276,2020-11-03,24490,395.0,326.57142857142856,4.571428571428555,Yes
277,2020-11-04,24822,332.0,324.42857142857144,-2.1428571428571104,Yes
278,2020-11-05,25252,430.0,339.57142857142856,15.14285714285711,Yes
279,2020-11-06,25650,398.0,338.57142857142856,-1.0,Yes
280,2020-11-07,25967,317.0,338.42857142857144,-0.14285714285711038,Yes
281,2020-11-08,26193,226.0,327.85714285714283,-10.571428571428612,Yes
282,2020-11-09,26613,420.0,359.7142857142857,31.85714285714289,Yes
283,2020-11-10,26960,347.0,352.85714285714283,-6.85714285714289,Yes
284,2020-11-11,27438,478.0,373.7142857142857,20.85714285714289,Yes
285,2020-11-12,27946,508.0,384.85714285714283,11.14285714285711,Yes
286,2020-11-13,28580,634.0,418.57142857142856,33.71428571428572,Yes
287,2020-11-14,29237,657.0,467.14285714285717,48.57142857142861,Yes
288,2020-11-15,29580,343.0,483.85714285714283,16.714285714285666,Yes
289,2020-11-16,29853,273.0,462.85714285714283,-21.0,Yes
290,2020-11-17,30170,317.0,458.57142857142856,-4.285714285714278,Yes
291,2020-11-18,30695,525.0,465.2857142857143,6.714285714285722,Yes
292,2020-11-19,31411,716.0,495.0,29.714285714285722,Yes
293,2020-11-20,32073,662.0,499.0,4.0,Yes
294,2020-11-21,32638,565.0,485.85714285714283,-13.142857142857167,Yes
295,2020-11-22,33155,517.0,510.7142857142857,24.85714285714289,Yes
296,2020-11-23,33598,443.0,535.0,24.285714285714278,Yes
297,2020-11-24,33963,365.0,541.8571428571429,6.85714285714289,Yes
298,2020-11-25,34687,724.0,570.2857142857143,28.428571428571445,Yes
299,2020-11-26,34687,0.0,468.0,-102.28571428571433,Yes
300,2020-11-27,35935,1248.0,551.7142857142857,83.71428571428567,Yes
301,2020-11-28,36419,484.0,540.1428571428571,-11.571428571428555,Yes
302,2020-11-29,36881,462.0,532.2857142857143,-7.857142857142776,Yes
303,2020-11-30,37230,349.0,518.8571428571429,-13.428571428571445,Yes
304,2020-12-01,37901,671.0,562.5714285714286,43.714285714285666,Yes
305,2020-12-02,38587,686.0,557.1428571428571,-5.428571428571445,Yes
306,2020-12-03,39246,659.0,651.2857142857143,94.14285714285722,Yes
307,2020-12-04,39814,568.0,554.1428571428571,-97.14285714285722,Yes
308,2020-12-05,40383,569.0,566.2857142857143,12.142857142857224,Yes
309,2020-12-06,40817,434.0,562.2857142857143,-4.0,Yes
310,2020-12-07,41168,351.0,562.5714285714286,0.28571428571422075,Yes
311,2020-12-08,41638,470.0,533.8571428571429,-28.714285714285666,Yes
312,2020-12-09,42348,710.0,537.2857142857143,3.428571428571445,Yes
313,2020-12-10,43006,658.0,537.1428571428571,-0.14285714285722406,Yes
314,2020-12-11,43503,497.0,527.0,-10.14285714285711,Yes
315,2020-12-12,44085,582.0,528.8571428571429,1.8571428571428896,Yes
316,2020-12-13,44530,445.0,530.4285714285714,1.5714285714285552,Yes
317,2020-12-14,44876,346.0,529.7142857142857,-0.7142857142857792,Yes
318,2020-12-15,45284,408.0,520.8571428571429,-8.857142857142776,Yes
319,2020-12-16,45622,338.0,467.7142857142857,-53.14285714285717,Yes
320,2020-12-17,46109,487.0,443.2857142857143,-24.428571428571445,Yes
321,2020-12-18,46556,447.0,436.14285714285717,-7.14285714285711,Yes
